# 수직 점프 (준비→도약→착지)  |  241 frames  |  DT=0.005s
frame	th1_deg	th2_deg	th3_deg	th4_deg
0	0.000000	-150.000000	-90.000000	90.000000
1	0.000000	-150.000000	-90.000000	90.000000
2	0.000000	-149.999895	-90.000286	90.000181
3	0.000000	-149.999179	-90.002243	90.001422
4	0.000000	-149.997282	-90.007426	90.004708
5	0.000000	-149.993681	-90.017264	90.010945
6	0.000000	-149.987899	-90.033065	90.020964
7	0.000000	-149.979503	-90.056016	90.035518
8	0.000000	-149.968101	-90.087188	90.055288
9	0.000000	-149.953347	-90.127537	90.080885
10	0.000000	-149.934937	-90.177910	90.112847
11	0.000000	-149.912608	-90.239041	90.151649
12	0.000000	-149.886135	-90.311562	90.197697
13	0.000000	-149.855337	-90.395999	90.251336
14	0.000000	-149.820068	-90.492780	90.312849
15	0.000000	-149.780222	-90.602235	90.382457
16	0.000000	-149.735728	-90.724600	90.460328
17	0.000000	-149.686551	-90.860022	90.546573
18	0.000000	-149.632688	-91.008562	90.641250
19	0.000000	-149.574170	-91.170196	90.744366
20	0.000000	-149.511058	-91.344823	90.855880
21	0.000000	-149.443441	-91.532266	90.975707
22	0.000000	-149.371437	-91.732278	91.103715
23	0.000000	-149.295187	-91.944544	91.239732
24	0.000000	-149.214859	-92.168689	91.383548
25	0.000000	-149.130640	-92.404275	91.534915
26	0.000000	-149.042736	-92.650814	91.693550
27	0.000000	-148.951374	-92.907766	91.859141
28	0.000000	-148.856795	-93.174547	92.031342
29	0.000000	-148.759253	-93.450530	92.209783
30	0.000000	-148.659015	-93.735051	92.394066
31	0.000000	-148.556359	-94.027413	92.583773
32	0.000000	-148.451570	-94.326892	92.778462
33	0.000000	-148.344940	-94.632735	92.977675
34	0.000000	-148.236764	-94.944172	93.180936
35	0.000000	-148.127343	-95.260412	93.387755
36	0.000000	-148.016977	-95.580653	93.597630
37	0.000000	-147.905966	-95.904081	93.810047
38	0.000000	-147.794609	-96.229877	94.024485
39	0.000000	-147.683200	-96.557217	94.240418
40	0.000000	-147.572032	-96.885279	94.457311
41	0.000000	-147.461389	-97.213241	94.674631
42	0.000000	-147.351550	-97.540291	94.891841
43	0.000000	-147.242785	-97.865622	95.108407
44	0.000000	-147.135355	-98.188441	95.323796
45	0.000000	-147.029513	-98.507970	95.537483
46	0.000000	-146.925499	-98.823446	95.748946
47	0.000000	-146.823544	-99.134128	95.957673
48	0.000000	-146.723866	-99.439295	96.163162
49	0.000000	-146.626671	-99.738252	96.364924
50	0.000000	-146.532151	-100.030331	96.562482
51	0.000000	-146.440486	-100.314891	96.755377
52	0.000000	-146.351843	-100.591325	96.943168
53	0.000000	-146.266372	-100.859058	97.125430
54	0.000000	-146.184212	-101.117552	97.301765
55	0.000000	-146.105487	-101.366307	97.471794
56	0.000000	-146.030304	-101.604862	97.635166
57	0.000000	-145.958759	-101.832798	97.791557
58	0.000000	-145.890930	-102.049744	97.940674
59	0.000000	-145.826881	-102.255372	98.082253
60	0.000000	-145.766662	-102.449405	98.216067
61	0.000000	-145.710306	-102.631616	98.341922
62	0.000000	-145.657829	-102.801835	98.459664
